Symbol,Name,MarketCap,IPOyear,Sector,industry,Summary Quote
AMZN,"Amazon.com, Inc.",1.59992E+11,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",929300716.4,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",592770321.5,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
EPAX,"Ambassadors Group, Inc.",69461823.79,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax
AMBT,Ambient Corporation,33327439.54,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ambt
AMBI,Ambit Biosciences Corporation,230437636.5,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ambi
AMCX,AMC Networks Inc.,4804540936,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
AMED,Amedisys Inc,460836216,1987,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,4395869992,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ASBI,Ameriana Bancorp,39693282.56,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi
ATAX,"America First Tax Exempt Investors, L.P.",303688300,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",74019880835,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AGNC,American Capital Agency Corp.,8097467830,1983,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCP,American Capital Agency Corp.,0,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
MTGE,American Capital Mortgage Investment Corp.,1077958400,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge
ACAS,"American Capital, Ltd.",3977285059,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas
ANCI,American Caresource Holdings Inc,9621737.244,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/anci
AETI,"American Electric Technologies, Inc.",72037557,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMIC,American Independence Corp.,88806100.55,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic
AMNB,"American National Bankshares, Inc.",179811652.8,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,2853579447,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
APFC,American Pacific Corporation,318525173.3,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apfc
APEI,"American Public Education, Inc.",744595452.5,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",955088244.8,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
ARCP,"American Realty Capital Properties, Inc.",2388570523,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/arcp
AMRB,American River Bankshares,77044184.8,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
ASEI,"American Science and Engineering, Inc.",527478075,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
AMSWA,"American Software, Inc.",254989604.1,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,126249602,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,494680587.1,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",385791601.9,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,450857899.7,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",733320653.4,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,58043140.92,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,204002103.8,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,84997563664,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",101248610.9,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",1189416157,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMSG,Amsurg Corp.,1409601588,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg
ASYS,"Amtech Systems, Inc.",82991335.8,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",2994200109,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",203643516.6,1992,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ANAC,"Anacor Pharmaceuticals, Inc.",512579220.3,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac
ANAD,"ANADIGICS, Inc.",150400045.9,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad
ADI,"Analog Devices, Inc.",15488032790,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,1153607116,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANEN,"Anaren, Inc.",370380239.2,1972,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/anen
ANCB,Anchor Bancorp,43350000,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
AMCF,Andatee China Marine Fuel Services Corporation,11930792.39,2010,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/amcf
ANDA,Andina Acquisition Corporation,53340000,n/a,Consumer Durables,Electronic Components,http://www.nasdaq.com/symbol/anda
ANDAU,Andina Acquisition Corporation,18067510.95,n/a,Consumer Durables,Electronic Components,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corporation,0,n/a,Consumer Durables,Electronic Components,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",838947703.1,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",514697041.2,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",112624847.3,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,436887127.2,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",7776010248,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",477274131,2002,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",56581154.8,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APAGF,Apco Oil and Gas International Inc.,419537670,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apagf
ATNY,API Technologies Corp.,174959202.6,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
APOG,"Apogee Enterprises, Inc.",953745578.6,1971,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Group, Inc.",2927602490,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol
